rowID,stamp,datetime,hum,EDITED:,rowID,stamp,datetime,hum
999,1497825202, 2017/6/18 22:33:22,61.5,,1    ,2, 2017/6/18 22:33:22,61.5
1999,1497825203, 2017/6/18 22:33:23,61.5,,2    ,3, 2017/6/18 22:33:23,61.5
2999,1497825204, 2017/6/18 22:33:24,61.5,,3    ,4, 2017/6/18 22:33:24,61.5
3999,1497825205, 2017/6/18 22:33:25,61.5,,4    ,5, 2017/6/18 22:33:25,61.5
4999,1497825206, 2017/6/18 22:33:26,61.4,,5    ,6, 2017/6/18 22:33:26,61.4
5999,1497825207, 2017/6/18 22:33:27,61.4,,6    ,7, 2017/6/18 22:33:27,61.4
6999,1497825208, 2017/6/18 22:33:28,61.4,,7    ,8, 2017/6/18 22:33:28,61.4
8000,1497825209, 2017/6/18 22:33:29,61.4,,8    ,9, 2017/6/18 22:33:29,61.4
8999,1497825210, 2017/6/18 22:33:30,61.4,,9    ,10, 2017/6/18 22:33:30,61.4
9999,1497825211, 2017/6/18 22:33:31,61.4,,10    ,11, 2017/6/18 22:33:31,61.4
10998,1497825212, 2017/6/18 22:33:32,61.4,,11    ,12, 2017/6/18 22:33:32,61.4
11999,1497825213, 2017/6/18 22:33:33,61.4,,12    ,13, 2017/6/18 22:33:33,61.4
12999,1497825214, 2017/6/18 22:33:34,61.4,,13    ,14, 2017/6/18 22:33:34,61.4
14000,1497825215, 2017/6/18 22:33:35,61.4,,14    ,15, 2017/6/18 22:33:35,61.4
14999,1497825216, 2017/6/18 22:33:36,61.4,,15    ,16, 2017/6/18 22:33:36,61.4
16000,1497825217, 2017/6/18 22:33:37,61.4,,16    ,17, 2017/6/18 22:33:37,61.4
16999,1497825218, 2017/6/18 22:33:38,61.5,,17    ,18, 2017/6/18 22:33:38,61.5
17999,1497825219, 2017/6/18 22:33:39,61.5,,18    ,19, 2017/6/18 22:33:39,61.5
19000,1497825220, 2017/6/18 22:33:40,61.5,,19    ,20, 2017/6/18 22:33:40,61.5
19999,1497825221, 2017/6/18 22:33:41,61.5,,20    ,21, 2017/6/18 22:33:41,61.5
20999,1497825222, 2017/6/18 22:33:42,61.6,,21    ,22, 2017/6/18 22:33:42,61.6
